ISO_Alpha3_Code,britain,france,spain,germany,portugal,netherlands,belgium,italy,last_colonizer
AFG,0,0,0,0,0,0,0,0,
ALB,0,0,0,0,0,0,0,0,
DZA,0,1,0,0,0,0,0,0,france
AND,0,0,0,0,0,0,0,0,
AGO,0,0,0,0,1,0,0,0,portugal
ATG,1,0,0,0,0,0,0,0,britain
ARG,0,0,1,0,0,0,0,0,spain
ARM,0,0,0,0,0,0,0,0,
AUS,1,0,0,0,0,0,0,0,britain
AUT,0,0,0,0,0,0,0,0,
AZE,0,0,0,0,0,0,0,0,
BHS,1,0,0,0,0,0,0,0,britain
BHR,1,0,0,0,0,0,0,0,britain
BGD,1,0,0,0,0,0,0,0,britain
BRB,1,0,0,0,0,0,0,0,britain
BLR,0,0,0,0,0,0,0,0,
BEL,0,0,0,0,0,0,0,0,
BLZ,1,0,1,0,0,0,0,0,britain
BEN,0,1,0,0,0,0,0,0,france
BTN,1,0,0,0,0,0,0,0,britain
BOL,0,0,1,0,0,0,0,0,spain
BIH,0,0,0,0,0,0,0,0,
BWA,1,0,0,0,0,0,0,0,britain
BRA,0,0,0,0,1,0,0,0,portugal
BRN,1,0,0,0,0,0,0,0,britain
BGR,0,0,0,0,0,0,0,0,
BFA,0,1,0,0,0,0,0,0,france
BDI,0,0,0,1,0,0,1,0,belgium
KHM,0,1,0,0,0,0,0,0,france
CMR,0,1,0,1,0,0,0,0,france
CAN,1,1,0,0,0,0,0,0,britain
CPV,0,0,0,0,1,0,0,0,portugal
CAF,0,1,0,0,0,0,0,0,france
TCD,0,1,0,0,0,0,0,0,france
CHL,0,0,1,0,0,0,0,0,spain
CHN,0,0,0,0,0,0,0,0,
COL,0,0,1,0,0,0,0,0,spain
COM,0,1,0,0,0,0,0,0,france
COG,0,1,0,0,0,0,0,0,france
COD,0,0,0,0,0,0,1,0,belgium
CRI,0,0,1,0,0,0,0,0,spain
HRV,0,0,0,0,0,0,0,0,
CUB,0,0,1,0,0,0,0,0,spain
CYP,1,0,0,0,0,0,0,0,britain
CZE,0,0,0,0,0,0,0,0,
CIV,0,1,0,0,0,0,0,0,france
DNK,0,0,0,0,0,0,0,0,
DJI,0,1,0,0,0,0,0,0,france
DMA,1,1,0,0,0,0,0,0,britain
DOM,0,0,1,0,0,0,0,0,spain
ECU,0,0,1,0,0,0,0,0,spain
EGY,1,0,0,0,0,0,0,0,britain
SLV,0,0,1,0,0,0,0,0,spain
GNQ,1,0,1,0,1,0,0,0,spain
ERI,1,0,0,0,0,0,0,1,britain
EST,0,0,0,0,0,0,0,0,
SWZ,1,0,0,0,0,0,0,0,britain
ETH,0,0,0,0,0,0,0,0,
FJI,1,0,0,0,0,0,0,0,britain
FIN,0,0,0,0,0,0,0,0,
FRA,0,0,0,0,0,0,0,0,
GAB,0,1,0,0,0,0,0,0,france
GMB,1,0,0,0,0,0,0,0,britain
GEO,0,0,0,0,0,0,0,0,
DEU,0,0,0,0,0,0,0,0,
GHA,1,0,0,1,1,0,0,0,britain
GRC,0,0,0,0,0,0,0,0,
GRD,1,1,0,0,0,0,0,0,britain
GTM,0,0,1,0,0,0,0,0,spain
GIN,0,1,0,0,0,0,0,0,france
GNB,0,0,0,0,1,0,0,0,portugal
GUY,1,0,0,0,0,1,0,0,britain
HTI,0,1,0,0,0,0,0,0,france
HND,0,0,1,0,0,0,0,0,spain
HUN,0,0,0,0,0,0,0,0,
ISL,0,0,0,0,0,0,0,0,
IND,1,0,0,0,0,0,0,0,britain
IDN,0,0,0,0,0,1,0,0,netherlands
IRN,0,0,0,0,0,0,0,0,
IRQ,1,0,0,0,0,0,0,0,britain
IRL,0,0,0,0,0,0,0,0,
ISR,1,0,0,0,0,0,0,0,britain
ITA,0,0,0,0,0,0,0,0,
JAM,1,0,1,0,0,0,0,0,britain
JPN,0,0,0,0,0,0,0,0,
JOR,1,0,0,0,0,0,0,0,britain
KAZ,0,0,0,0,0,0,0,0,
KEN,1,0,0,0,0,0,0,0,britain
KIR,1,0,0,0,0,0,0,0,britain
KWT,1,0,0,0,0,0,0,0,britain
