Country_Name,Sovereignty_Acquisition_Date,Sovereignty_Acquisition_Description
Bulgaria,681 on territories of the Eastern Roman Empire,(Danubian) Bulgaria
Bulgaria,1185,Second Bulgarian Empire formed
Bulgaria,13 July 1878,Autonomy within Ottoman Empire recognized internationally by the Treaty of Berlin
Bulgaria,22 September 1908,Independence from Ottoman Empire
Andorra,1278,Independence from Aragon
Austria,17 September 1156,Privilegium Minus: Sovereignty from Duchy of Bavaria as a Duchy of the Holy Roman Empire
Austria,11 August 1804,Proclamation of the Austrian Empire
Austria,27 April 1945,Restoration of the Republic of Austria
Belarus,882,Formation of the Kievan Rus'
Belarus,27 July 1990,Declaration of State Sovereignty of the Belarusian Soviet Socialist Republic
Belarus,25 August 1991,Independence recognized by Soviet Union[11]
Belgium,4 October 1830,Independence was proclaimed by the provisonial government
Belgium,4 October 1830,Independence was proclaimed by the provisonial government
Bosnia and Herzegovina,3 March 1992,Independence declared from the SFR Yugoslavia[note 11]
Albania,1190 c.,Principality of Arbër was established by archon Progon.
Albania,28 November 1912,Declaration of independence from Ottoman Empire
Albania,28 November 1944,Albanian state re-established after Italian/German occupation
Croatia,879,Duke Branimir was recognized as an independent ruler of the Duchy of Croatia by Pope John VIII.[29][30][31][32][33]
Croatia,925,Formation of Kingdom of Croatia by King Tomislav
Czech Republic,870,Formation of the Duchy of Bohemia
Denmark,965,Harald Bluetooth unifies Denmark
Estonia,20 August 1991,"Independence (from the Soviet Union) reasserted, end of occupation[note 13]"
Finland,6 December 1917,Independence from Russian Empire declared
Finland,3 January 1918,"Independence from Russia recognized by the highest Soviet executive body, VTsIK"
France,481 then 843,"First creation with (Clovis), king of the Franks. Then creation of the Kingdom of France (West Francia), Treaty of Verdun"
France,22 September 1792,French Republic founded.
Germany,843 then 962,Creation of East Francia East Francia becomes the Holy Roman Empire (with the Kingdom of Germany as a main part of the empire)
Germany,1815,German Confederation founded
Germany,18 January 1871,German Empire founded
Germany,1954,German Democratic Republic (commonly referred to at the time as East Germany) declared fully sovereign
Germany,5 May 1955,Federal Republic of Germany (commonly referred to at the time as West Germany) declared fully sovereign
Germany,15 May 1991,Treaty on the Final Settlement with Respect to Germany ends the Four Power occupation.
Greece,600 BC,Peloponnesian League / Spartan Alliance[35]
Greece,478 BC,Delian League / Athenian Empire[36]
Greece,338 BC,League of Corinth / Hellenic League[37]
